valence,year,acousticness,artists,danceability,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,Genre,duration_min
0.254,2015,0.482,['The Weeknd'],0.372,0.478,1,7uJH0YdSZL6psjxI6Xy08b,0.0,7,0.084,-60.0,0,Acquainted,72.0,28/08/2015,0.05,101.102,Pop Rock,5.346
0.348,2015,0.762,['Ruth B.'],0.71,0.056,0,4h0zU3O9R5xzuTmNO7dNDU,0.0,7,0.089,-60.0,1,Lost Boy,76.0,21/08/2015,0.053,123.994,R&B,4.588
0.688,2015,0.41,"['Leslie Odom Jr.', 'Lin-Manuel Miranda', 'Original Broadway Cast of Hamilton']",0.854,0.327,0,2yBMVrq96wb9OHbMdBs0lF,0.0,8,0.089,-60.0,1,A Winter's Ball,71.0,25/09/2015,0.292,131.352,Pop,1.518
0.475,2015,0.001,['Fall Out Boy'],0.616,0.868,0,3Te8uLyit6X3ncNW8Fp3K2,0.0,2,0.671,-60.0,1,Immortals,74.0,20/01/2015,0.07,108.016,Indie Pop,3.156
0.528,2015,0.014,['X Ambassadors'],0.526,0.862,0,0fYVliAYKHuPmECRs1pbRf,0.001,2,0.229,-6.003,1,Renegades,76.0,30/06/2015,0.09,90.052,Pop Rock,3.253
0.443,2015,0.106,"['Jeremih', 'Ty Dolla $ign']",0.697,0.4,1,3WjyiSbfR74pjWXQ3IaFKJ,0.0,5,0.102,-60.0,0,Impatient,72.0,04/12/2015,0.051,179.007,R&B,4.092
0.521,2015,0.106,['Billy Currington'],0.553,0.747,0,3I7krC8kr0gFR7P6vInR1I,0.0,9,0.154,-60.0,1,Do I Make You Wanna,68.0,02/06/2015,0.028,90.012,Hip-Hop,3.905
0.386,2015,0.317,"['Meek Mill', 'Drake']",0.727,0.599,1,0Y0TOsE1q11qgbi7c5WZsG,0.0,1,0.219,-60.0,1,R.I.C.O. (feat. Drake),71.0,29/06/2015,0.292,167.909,Pop,3.286
0.343,2015,0.044,"['The Chainsmokers', 'ROZES']",0.713,0.802,0,3vv9phIu6Y1vX3jcqaGz5Z,0.001,4,0.309,-60.0,1,Roses,74.0,16/06/2015,0.056,100.001,Pop Rock,3.779
0.255,2015,0.752,['Phillipa Soo'],0.582,0.428,0,4B3qvzOMzLQXLeYgPsG3KA,0.0,2,0.102,-9.13,1,Burn,70.0,25/09/2015,0.052,99.608,R&B,3.754
0.447,2015,0.019,['Twenty One Pilots'],0.655,0.632,0,3bnVBN67NBEzedqQuWrpP4,0.0,2,0.072,-60.0,1,Tear in My Heart,73.0,15/05/2015,0.049,120.113,Alternative Pop,3.142
0.956,2015,0.024,['Zac Brown Band'],0.711,0.801,0,1qwnPVOIJjAFfCc40Etb1D,0.0,6,0.135,-60.0,1,Homegrown,69.0,28/04/2015,0.029,105.006,Hip-Hop,3.417
0.239,2015,0.016,['Rae Sremmurd'],0.891,0.486,1,4scpF6J5uMBvoh6sFB7EL1,0.0,6,0.092,-60.0,1,No Type,73.0,06/01/2015,0.159,125.01,Indie Pop,3.335
0.873,2015,0.53,['Meghan Trainor'],0.756,0.789,0,5k5fWendNngd89O8JKoE8L,0.001,2,0.157,-7.002,1,Better When I'm Dancin',76.0,14/10/2015,0.032,127.987,Pop,2.938
0.301,2015,0.275,['Lil Uzi Vert'],0.638,0.526,1,4v1P7JCjehbg5TmLQo2mFy,0.0,7,0.435,-60.0,1,7AM,69.0,18/12/2015,0.131,139.054,R&B,3.662
0.378,2015,0.62,['Drake'],0.697,0.235,1,7JXZq0JgG2zTrSOAgY8VMC,0.0,7,0.107,-60.0,1,Jungle,71.0,12/02/2015,0.053,99.947,Pop Rock,5.34
0.577,2015,0.016,['Melanie Martinez'],0.568,0.692,0,5gWtkdgdyt5bZt9i6n3Kqd,0.0,8,0.148,-60.0,1,Mad Hatter,73.0,14/08/2015,0.059,92.023,Indie Pop,3.359
0.397,2015,0.203,"['Lil Dicky', 'Brendon Urie']",0.829,0.514,1,7MkysLvt3L8UFji2PceoFU,0.0,7,0.115,-60.0,1,Molly (feat. Brendon Urie of Panic at the Disco),69.0,31/07/2015,0.037,114.955,R&B,4.072
